,city_from,city_to
0,44,80
1,124,173
2,102,1
3,124,21
4,9,181
5,10,164
6,28,197
7,6,195
8,2,194
9,1,189
10,1,169
11,117,71
12,176,89
13,177,70
14,188,72
15,10,188
16,187,174
17,167,66
18,199,126
19,181,186
20,112,127
21,123,181
22,89,110
23,127,99
24,29,12
25,80,35
26,192,2
27,145,25
28,107,67
29,90,109
30,126,146
31,122,44
32,181,93
33,171,115
34,67,0
35,85,27
36,137,33
37,138,181
38,104,144
39,59,31
40,191,45
41,186,34
42,170,24
43,178,130
44,182,71
45,136,110
46,4,92
47,144,42
48,34,162
49,5,176
50,40,153
51,65,148
52,93,106
53,174,85
54,148,196
55,19,141
56,9,77
57,189,107
58,169,33
59,177,53
60,154,145
61,94,180
62,193,24
63,186,92
64,171,1
65,127,195
66,81,137
67,17,179
68,190,11
69,59,51
70,117,16
71,139,13
72,131,21
73,170,94
74,28,109
75,131,181
76,180,44
77,21,149
78,133,118
79,109,130
80,44,119
81,9,86
82,184,35
83,34,83
84,31,55
85,24,189
86,95,122
87,57,6
88,61,52
89,100,188
90,93,79
91,88,98
92,49,74
93,69,155
94,196,96
95,162,179
96,112,104
97,182,129
98,186,193
99,189,194
100,178,133
101,122,35
102,179,93
103,19,128
104,27,132
105,121,189
106,191,198
107,184,11
108,197,119
109,125,9
110,108,67
111,16,146
112,8,153
113,65,144
114,196,144
115,98,23
116,169,32
117,192,73
118,197,20
119,40,36
120,102,93
121,16,35
122,61,48
123,37,32
124,96,1
125,97,83
126,133,107
127,105,105
128,145,135
129,113,90
130,112,107
131,20,17
132,108,153
133,56,122
134,68,24
135,34,129
136,75,96
137,67,108
138,58,10
139,183,3
140,126,54
141,93,30
142,193,53
143,24,74
144,61,69
145,95,100
146,19,36
147,130,126
148,78,194
149,183,110
150,7,92
151,39,38
152,27,75
153,91,11
154,115,0
155,67,84
156,170,133
157,164,174
158,172,14
159,57,168
160,143,142
161,111,28
162,30,119
163,196,126
164,138,149
165,8,43
166,91,4
167,68,198
168,143,196
169,88,2
170,193,198
171,49,32
172,70,89
173,61,99
174,104,163
175,28,194
176,187,16
177,103,199
178,48,193
179,105,185
180,19,5
181,7,4
182,55,125
183,157,186
184,140,191
185,2,30
186,32,126
187,151,173
188,93,105
189,120,55
190,198,44
191,147,165
192,138,105
193,126,159
194,140,120
195,119,75
196,84,187
197,180,14
198,87,128
199,145,157
200,122,79
201,88,124
202,79,146
203,174,45
204,0,75
205,39,117
206,2,37
207,68,64
208,71,29
209,165,14
210,37,30
211,102,31
212,76,113
213,189,120
214,185,56
215,165,24
216,154,47
217,69,122
218,59,134
219,131,194
220,150,191
221,174,137
222,143,136
223,183,182
224,104,95
225,93,23
226,138,123
227,121,68
228,107,26
229,114,79
230,38,28
231,138,176
232,87,52
233,87,186
234,60,112
235,10,159
236,60,65
237,60,65
238,137,76
239,92,147
240,36,160
241,187,145
242,164,185
243,14,110
244,22,144
245,192,88
246,109,165
247,106,164
248,121,61
249,23,42
250,31,167
251,5,155
252,49,86
253,63,127
254,84,91
255,93,3
256,96,13
257,22,67
258,184,51
259,181,74
260,42,30
261,132,16
262,103,127
263,76,168
264,100,45
265,176,8
266,24,132
267,107,123
268,111,67
269,158,114
270,182,179
271,13,102
272,51,184
273,14,18
274,75,184
275,131,35
276,190,22
277,31,153
278,154,116
279,108,173
280,70,71
281,195,52
282,161,86
283,105,0
284,140,2
285,40,134
286,106,59
287,101,149
288,19,108
289,35,56
290,176,187
291,111,70
292,26,144
293,0,189
294,135,146
295,122,50
296,125,40
297,176,40
298,118,41
299,144,69
300,149,39
301,47,133
302,42,97
303,147,169
304,183,26
305,162,120
306,9,139
307,169,186
308,57,161
309,92,74
310,173,120
311,50,147
312,33,156
313,190,91
314,172,140
315,158,182
316,136,56
317,122,101
318,92,14
319,164,28
320,61,195
321,63,115
322,126,41
323,153,120
324,149,190
325,33,143
326,147,154
327,147,169
328,141,137
329,91,22
330,39,60
331,32,0
332,41,113
333,138,154
334,142,41
335,97,140
336,2,87
