,population,execution_time
0,3,45
1,4,44
2,5,40
3,6,41
4,7,40
5,8,41
6,9,39
7,10,41
8,11,42
9,12,42
10,13,40
11,14,41
12,15,41
13,16,40
14,17,44
15,18,42
16,19,42
17,20,43
18,21,43
19,22,42
20,23,45
21,24,45
22,25,45
23,26,43
24,27,44
25,28,48
26,29,45
27,30,45
28,31,45
29,32,46
30,33,45
31,34,47
32,35,46
33,36,50
34,37,48
35,38,48
36,39,48
37,40,49
38,41,50
39,42,49
40,43,48
41,44,49
42,45,50
43,46,49
44,47,50
45,48,50
46,49,53
47,50,52
48,51,52
49,52,52
50,53,51
51,54,53
52,55,53
53,56,52
54,57,54
55,58,53
56,59,52
57,60,53
58,61,56
59,62,53
60,63,54
61,64,55
62,65,57
63,66,55
64,67,59
65,68,59
66,69,55
67,70,57
68,71,58
69,72,58
