,city_from,city_to
0,55,168
1,62,183
2,119,122
3,146,112
4,197,106
5,186,38
6,115,12
7,72,22
8,96,16
9,116,24
10,189,54
11,143,8
12,113,17
13,159,37
14,173,91
15,37,99
16,6,163
17,19,165
18,15,113
19,4,125
20,59,146
21,63,145
22,168,106
23,106,159
24,178,162
25,16,194
26,30,173
27,60,112
28,63,88
29,191,152
30,179,144
31,174,126
32,119,86
33,161,4
34,120,50
35,52,110
36,2,25
37,64,38
38,42,70
39,76,38
40,105,193
41,143,167
42,157,155
43,137,166
44,138,115
45,92,116
46,23,96
47,29,119
48,13,164
49,22,147
50,19,143
51,61,121
52,76,175
