,population,execution_time
0,3,46
1,4,45
2,5,43
3,6,42
4,7,40
5,8,41
6,9,42
7,10,41
8,11,41
9,12,41
10,13,42
11,14,43
12,15,44
13,16,41
14,17,43
15,18,42
16,19,45
17,20,43
18,21,45
19,22,44
20,23,46
21,24,46
22,25,43
23,26,46
24,27,48
25,28,45
26,29,45
27,30,47
28,31,46
29,32,46
30,33,46
31,34,51
32,35,48
33,36,47
34,37,49
35,38,50
36,39,49
37,40,51
38,41,51
39,42,48
40,43,49
41,44,50
42,45,52
43,46,51
44,47,50
45,48,52
46,49,53
47,50,51
48,51,53
49,52,53
50,53,51
51,54,52
52,55,52
53,56,56
54,57,55
55,58,56
56,59,54
57,60,55
58,61,58
59,62,55
60,63,58
61,64,57
62,65,59
63,66,54
64,67,58
65,68,58
66,69,56
67,70,57
68,71,58
69,72,58
70,73,57
71,74,62
72,75,57
73,76,60
74,77,61
75,78,59
76,79,62
77,80,66
78,81,61
79,82,59
80,83,61
81,84,60
82,85,62
83,86,64
84,87,60
85,88,61
86,89,63
87,90,62
88,91,63
89,92,64
90,93,61
91,94,63
92,95,64
93,96,61
