,city_from,city_to
0,197,31
1,161,118
2,67,55
3,6,51
4,120,38
5,149,105
6,110,130
7,60,197
8,31,197
9,192,89
10,51,97
11,89,187
12,119,157
13,132,128
14,85,150
15,67,19
16,81,89
17,170,21
18,6,4
19,126,48
20,156,121
21,68,143
22,99,50
23,4,186
24,181,2
25,162,163
26,14,195
27,52,61
28,147,82
29,92,158
30,45,141
31,79,60
32,123,55
33,132,59
34,39,87
35,74,109
36,194,118
37,107,92
38,96,53
39,4,21
40,56,22
41,118,37
42,175,9
43,26,108
44,197,183
45,189,73
46,156,9
47,183,14
48,177,3
49,109,35
50,159,39
51,150,57
52,192,44
53,44,68
54,15,1
55,81,67
56,111,52
57,17,14
58,19,61
59,101,0
60,119,133
61,40,149
62,11,98
63,37,188
64,120,96
65,144,44
66,168,162
67,106,152
68,136,170
69,16,8
70,1,18
71,68,103
72,165,144
73,159,2
74,49,40
75,5,140
76,187,53
77,158,85
78,102,80
79,77,97
80,193,78
81,160,59
82,83,111
83,180,93
84,74,34
85,66,196
86,72,125
87,78,104
88,153,188
89,99,123
90,24,188
91,77,113
92,109,194
93,111,159
94,123,178
95,163,185
96,137,173
97,33,140
98,20,187
99,171,106
100,37,139
101,85,6
102,8,86
103,99,82
104,114,0
105,39,95
106,32,117
107,61,37
108,141,91
109,77,23
110,66,140
111,61,105
112,124,151
113,2,12
114,182,144
115,171,72
116,91,49
117,175,177
118,6,43
119,128,166
120,174,59
121,199,163
122,126,154
123,177,26
124,189,165
125,82,67
126,85,50
127,61,66
128,136,121
129,143,159
130,103,195
131,42,68
132,61,167
133,156,28
134,8,31
135,85,44
136,18,75
137,21,151
138,9,176
139,194,185
140,180,87
141,89,87
142,68,78
143,116,14
144,123,117
145,179,9
146,166,88
147,90,10
148,144,178
149,71,120
150,152,151
151,57,74
152,2,58
153,48,42
154,96,197
155,56,51
156,109,21
157,155,126
158,75,182
159,133,36
160,35,28
161,75,79
162,93,83
163,98,170
164,103,26
165,14,91
166,81,117
167,109,40
168,157,114
169,91,118
170,137,141
171,148,105
172,133,44
173,65,27
174,113,69
175,1,139
176,119,46
177,2,183
178,195,2
179,157,135
180,160,194
181,60,101
182,45,62
183,114,92
184,140,1
185,73,19
186,114,180
187,122,82
188,110,163
189,119,174
190,44,117
191,62,76
192,189,114
193,185,122
194,119,194
195,117,157
196,143,21
197,132,158
198,155,143
199,32,85
200,38,144
201,113,151
202,107,112
203,24,71
204,4,54
205,177,64
206,128,182
207,35,165
208,0,15
209,70,91
210,151,84
211,155,4
212,133,79
213,126,16
214,91,38
215,146,122
216,97,72
217,117,67
218,17,125
219,198,120
220,174,57
221,165,195
222,198,12
223,110,175
224,84,46
225,64,2
226,193,113
227,124,154
228,189,91
229,157,32
230,29,60
231,162,34
232,106,162
233,118,163
234,108,73
235,179,132
236,48,179
237,149,180
238,123,94
239,122,128
240,37,69
241,192,113
242,42,194
243,112,114
244,187,155
245,118,178
246,117,182
247,37,183
248,195,28
249,193,7
250,174,33
251,123,160
252,77,33
253,115,38
254,10,166
255,11,80
256,51,1
257,35,132
258,121,0
259,100,169
260,192,26
261,76,28
262,93,72
263,166,99
264,177,3
265,108,50
266,137,14
267,120,103
268,148,162
269,150,76
270,126,48
271,119,27
272,169,92
273,50,37
274,97,172
275,73,85
276,9,107
277,13,194
278,166,142
279,63,96
280,131,171
281,106,100
282,36,84
283,73,76
284,106,78
285,105,143
286,166,86
287,144,62
288,116,78
289,38,198
290,43,61
291,185,84
292,109,174
293,157,115
294,168,36
295,120,188
296,70,83
297,3,84
298,114,98
299,179,183
300,174,135
301,183,148
302,166,197
303,71,118
304,57,67
305,83,64
306,85,91
307,149,15
308,11,97
309,28,192
310,30,67
311,5,106
312,58,184
313,175,83
314,171,161
315,159,135
316,75,104
317,122,63
318,25,45
319,155,128
320,175,139
321,75,27
322,92,93
323,89,10
324,176,36
325,151,71
326,14,72
327,21,168
328,80,28
329,143,76
330,176,157
331,157,189
332,149,182
333,48,145
334,93,40
335,131,96
336,25,127
337,35,148
338,14,124
339,119,1
340,85,13
341,26,13
342,106,83
343,13,92
344,187,104
345,77,139
346,80,125
347,195,101
348,87,114
349,58,4
350,197,27
351,47,183
352,72,134
353,106,67
354,8,166
355,67,46
356,121,187
357,22,12
358,27,77
359,56,161
360,28,138
361,136,74
362,53,199
363,94,107
364,56,187
365,129,84
366,54,83
367,50,112
368,104,164
369,9,142
370,107,139
371,167,190
372,79,54
373,78,156
374,129,84
375,117,56
376,133,96
377,66,109
378,179,134
379,91,94
380,128,57
381,6,194
382,89,181
383,127,119
384,85,47
385,60,53
386,13,45
387,6,49
388,146,90
389,16,99
390,115,113
391,131,47
392,66,11
393,40,29
394,108,28
395,12,96
396,26,48
397,63,90
398,134,79
399,128,41
400,148,149
401,71,8
402,181,157
403,148,175
404,3,99
405,8,104
406,86,70
407,150,48
408,31,106
409,59,18
410,174,0
411,129,78
412,12,79
413,89,73
414,104,102
415,190,83
416,166,108
417,27,68
418,154,72
419,85,141
420,135,104
421,98,153
422,196,144
423,173,58
424,141,22
425,165,51
426,151,117
427,196,22
428,46,91
429,117,62
430,94,145
431,187,64
432,72,24
433,78,90
434,142,91
435,84,157
436,74,163
437,135,137
438,171,14
439,111,24
440,144,173
441,91,110
442,8,151
443,41,159
444,10,147
445,47,117
446,62,81
447,96,61
448,50,182
449,58,72
450,9,33
451,90,24
452,25,60
453,38,43
454,48,102
455,127,119
456,75,128
457,82,82
458,59,166
459,51,181
460,7,153
461,143,53
462,8,102
463,70,95
464,29,137
465,143,12
466,45,187
467,183,4
468,96,120
469,112,170
470,55,76
471,72,68
472,7,16
473,121,154
474,131,176
475,9,137
476,101,77
477,50,20
478,98,159
479,170,147
480,20,108
481,192,152
482,118,162
483,166,115
484,93,46
485,90,53
486,45,37
487,183,172
488,132,186
489,109,78
490,37,145
491,142,170
492,82,75
493,30,71
494,5,119
495,1,30
496,9,141
497,4,85
498,15,42
499,120,132
500,62,126
501,154,69
502,118,97
503,51,0
504,71,19
505,33,179
506,75,39
507,193,32
508,157,12
509,196,94
510,114,181
511,36,42
512,108,17
513,152,86
514,139,51
515,10,102
516,173,69
517,127,98
518,73,80
519,136,158
520,78,170
521,196,79
522,169,131
523,82,126
524,192,146
525,64,34
526,152,113
527,132,112
528,13,137
529,76,26
530,24,168
531,22,74
532,189,55
533,155,153
534,78,45
535,22,67
536,34,46
537,155,182
538,189,85
539,79,74
540,140,17
541,157,45
542,193,186
543,95,193
