,city_from,city_to
0,108,179
1,190,97
2,160,101
3,199,89
4,144,161
5,196,73
6,95,140
7,72,170
8,38,141
9,11,1
10,21,66
11,0,1
12,5,17
13,131,105
14,88,30
15,6,114
16,100,160
17,187,102
18,128,136
19,120,8
20,4,33
21,23,189
22,34,85
23,16,124
24,80,196
25,178,88
26,27,57
27,58,11
28,108,81
29,103,116
30,87,172
31,170,54
32,6,63
33,188,8
34,111,61
35,185,100
36,53,116
37,121,176
38,166,135
39,115,68
40,98,163
41,162,193
42,198,189
43,156,197
44,136,93
45,38,64
46,23,148
47,113,197
48,160,53
49,102,142
50,34,199
51,78,64
52,20,7
53,37,127
54,148,16
55,115,41
56,174,6
57,172,61
58,117,33
59,88,23
60,110,69
61,10,189
62,46,171
63,9,71
64,97,175
65,149,163
66,71,165
67,35,62
68,57,168
69,32,94
70,71,123
71,125,110
72,88,99
73,50,45
74,184,156
75,166,83
76,97,112
77,87,98
78,154,28
79,159,75
80,116,35
81,106,4
82,110,67
83,27,107
84,30,120
85,193,100
86,151,44
87,172,16
88,84,1
89,199,53
90,152,161
91,39,82
92,156,141
93,149,108
94,101,53
95,148,66
96,45,49
97,97,64
98,171,159
99,85,75
