,Distance,Time
0,276921.4108773526,3.714347646571696
1,277280.576005012,3.6185235045850277
2,275555.35683357494,3.6719026938080788
3,274695.4528333027,3.5812007877975702
4,274188.70142596075,3.663396069779992
5,273929.600772675,3.6089305840432644
6,273968.8545405965,3.6928050089627504
7,272543.7791112752,3.714611637406051
8,271499.34092116024,3.7028360925614834
9,271782.9742065759,3.775659939274192
10,271902.8095806236,3.686013923957944
11,271001.59984260186,3.6335113113746047
12,271087.8777901896,3.5457046907395124
13,270749.2511918945,3.741661057807505
14,270743.8105054907,3.5951510593295097
15,270774.995788134,3.583369355648756
16,270799.6517200545,3.719554366543889
17,269947.5376248118,3.6830827249214053
18,269229.3999410546,3.71538326703012
19,269782.5133801102,3.5520059103146195
20,269927.0215320838,3.6334056658670306
21,269089.29720611486,3.644485238008201
22,269556.0790590212,3.723675087094307
23,268405.7135161922,3.618377869017422
24,268148.75610240345,3.7283955700695515
25,268160.48564889736,3.644859275780618
26,268013.417349603,3.5604533553123474
27,268628.9309687554,3.521721995435655
28,269121.68757772323,3.6603972259908915
29,268140.431429627,3.722599063999951
30,268247.0951570842,3.5318438904359937
31,268570.48775208,3.693860870786011
32,269243.05892968614,3.8077350966632366
33,269278.971370744,3.7184119131416082
34,269136.9269925175,3.526510984636843
35,268155.2179837603,3.6912748999893665
36,268033.3876163018,3.67830203846097
37,268880.9418085046,3.5359930600970984
38,268443.6393294354,3.659009694121778
39,268606.660396895,3.72840429097414
40,268437.0802906652,3.7715129973366857
41,268616.97408850095,3.6195656387135386
42,268929.9087508801,3.4877249225974083
43,268426.3416773584,3.816344827413559
44,268368.5310719069,3.5956339966505766
45,268571.43775394495,3.6958350464701653
46,268075.5128622269,3.463940885849297
47,267695.4134316877,3.6904856767505407
48,267767.4096375215,3.51608348172158
49,267858.9392289492,3.633159726858139
50,267533.75559521647,3.686461640521884
51,267605.57476599165,3.5698448112234473
52,267775.4716360963,3.613784513436258
53,268245.62681292434,3.699306786991656
54,267556.4686357932,3.6594200814142823
55,268195.52731548215,3.532347494736314
56,268394.3363003322,3.6349929608404636
57,268208.70868109644,3.7773316437378526
58,268270.25249938434,3.5716489097103477
59,268094.2503071984,3.6531885601580143
60,267654.20112706657,3.6464691516011953
61,267007.8905590084,3.675779483281076
62,267146.94319298625,3.7546521108597517
63,267801.66341947456,3.612938211299479
64,267301.5993764609,3.576861198991537
65,267968.2968087757,3.6472254572436213
66,268619.3212215846,3.622518017888069
67,268599.3628684636,3.693654626607895
68,267976.9742465892,3.834657661616802
69,268546.80146901624,3.557254039682448
70,268526.1237982324,3.6584080113098025
71,268576.4323966664,3.6760239582508802
72,268490.44053436763,3.5623844787478447
73,268163.2942056357,3.700578650459647
74,267735.61441923,3.700649708509445
75,267022.5976458962,3.556609329767525
76,267249.98947199725,3.6435818942263722
77,267224.79308227944,3.6731155775487423
78,267032.1926189701,3.512625392526388
79,266713.4070743262,3.7223141752183437
80,266984.6460109597,3.566102309152484
81,266525.1557239368,3.55660202819854
82,266220.3976700438,3.7069729724898934
83,266090.70787900337,3.685761763714254
84,266285.33475569007,3.8153057359158993
85,266457.0757437314,3.65185612346977
86,266450.0524924035,3.51491173915565
87,266919.218480921,3.673224847763777
88,267624.4260212406,3.630318130366504
89,267833.5525278127,3.5630592154338956
90,267814.46198165946,3.596919915638864
91,268283.402586997,3.684802114032209
92,268234.66690409573,3.6888791229575872
93,267775.1629491927,3.9113912899047136
94,267857.45901518624,3.746154005639255
95,267077.5545488671,3.8819270683452487
96,268450.6480012048,3.55831341445446
97,267427.763367361,3.4990225108340383
98,268263.0356592187,3.592461080290377
99,269032.56094841345,3.646695261821151
100,267944.1043754833,3.5955185759812593
101,268352.0729311441,3.602395831607282
102,267701.7948141356,3.6946091344580054
103,267843.6598749476,3.5614685295149684
104,268540.05118307617,3.648407989181578
105,268903.78293607914,4.008143911138177
106,268865.2582536315,3.6254194853827357
107,268673.9253560844,3.656046675518155
108,268993.8910690045,3.746709513477981
109,267756.2870026252,3.61546313110739
110,268838.1749564258,3.85966775380075
111,268893.557542438,3.795117507688701
112,269184.1895478342,4.2873028591275215
113,267358.14335453766,4.046862825751305
114,267541.7500537008,3.8428799202665687
115,268303.8542775944,3.6096165738999844
116,268066.6229498078,4.0132419522851706
117,268715.5890905906,3.6331692654639482
118,268794.4107324601,3.672200808301568
119,267481.355208726,3.65853320248425
120,267947.6681050464,3.568849845789373
121,268823.6317138984,3.535036474466324
